Binary_Pattern,Threshold
00000,2.56
000010,2.23
000011,1.3
000100,1.56
000101,0.98
000110,0.65
000111,0.44
001000,1.16
001010,0.75
001001,0.51
001011,0.36
001100,0.4
001101,0.29
001110,0.2
001111,0.14
010000,0.91
010001,0.59
010010,0.4
010011,0.29
010100,0.32
010101,0.23
010110,0.17
010111,0.12
011001,0.19
011010,0.13
011011,0.1
011100,0.11
011101,0.08
011110,0.05
011111,0.03
111101,0.02
111100,0.02
111011,0.02
111010,0.03
111001,0.04
111000,0.06
110111,0.02
110110,0.03
110101,0.05
110100,0.07
110011,0.06
110010,0.09
110001,0.13
110000,0.18
101111,0.03
101110,0.04
101101,0.06
101100,0.09
101011,0.08
101010,0.11
101001,0.15
101000,0.22
100111,0.1
100110,0.13
100101,0.19
100100,0.27
100011,0.23
100010,0.33
100001,0.47
100000,0.69
1111,0.02
